Rank,Player,GP,MSR,MSR AVG,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
266,Zach Freemantle,4,16.18,4.045,7,1.3,0.3,0.5,50,0,0,0,0.5,0.5,100,0.3,1.3,1.5,0,0,0,0.3,1.3,-3,
267,Vsevolod Ishchenko,3,16.18,5.393333333,27.2,7,1.7,6,27.8,0,0.7,0,2,2.7,75,2,2,4,1.7,3,1,1,2,-5,
268,Rocco Zikarsky,4,16.04,4.01,24.2,11.3,4.8,10,47.5,0.8,3,25,0.5,2.3,22.2,1.8,3.8,5.5,0.8,1.8,0.3,1.8,2,-9,
269,Kylan Boswell,4,15.94,3.985,16.4,5.8,2.3,4,56.3,1.3,2.3,55.6,0,0.5,0,1,2.8,3.8,3.5,1.5,0.5,0,0.8,1,
270,Jaden Bradley,3,15.82,5.273333333,17.6,6.7,2.3,7.7,30.4,0,0.7,0,2,2.7,75,0.7,3,3.7,1.7,3,0,0,2,-1,
271,Jalen Warley,2,15.74,7.87,14.9,3,1,5,20,0,1,0,0.5,0.5,100,1,2,3,0.5,0,1.5,0.5,4,-1,
272,Kyle Mangas,3,15.74,5.246666667,10.8,2.7,1,4.3,23.1,0.3,2.7,12.5,0.3,0.3,100,0.7,1,1.7,1,0,0.3,0,0.7,-6,
273,Zack Austin,3,15.73,5.243333333,15.7,5.7,1.7,5.3,31.3,0.3,2.7,12.5,1,1.3,75,1.3,0.7,2,0.7,0.7,0.7,2,1.7,-5,
274,Dylan Cardwell,4,15.72,3.93,22.3,7.8,3,7,42.9,0,0.5,0,1,1.8,57.1,3.5,3.3,6.8,2.5,0.8,0.8,2.8,5.3,-12,
275,Damion Baugh,4,15.66,3.915,16.1,4,1.3,3.8,33.3,0.3,1.3,20,0.8,1.3,60,0.3,3.5,3.8,2.5,2.5,1.3,0.5,2,-2,
276,Kaodirichi Akobundu-Ehiogu,3,15.63,5.21,11.5,6.7,3,3.3,90,0,0,0,0.3,1,33.3,0.3,1.3,1.7,0,0.3,0.3,1,2.3,0,
277,Vladislav Goldin,3,15.6,5.2,21.2,8,2,6.3,31.6,0,0.3,0,2,3.3,60,1.7,4.7,6.3,1.7,1.3,0.3,2,1.3,2,
278,Tyler Bilodeau,3,15.46,5.153333333,18.2,2.3,0.7,4,16.7,0,2.3,0,0.7,0.7,100,0,2.7,2.7,1,1,1,0.3,2.3,-2,
279,Anthony Pritchard,3,15.34,5.113333333,20,6,2.3,4.7,50,0,0,0,0.7,1,66.7,0.7,1.7,2.3,2.3,2.7,1,0,1.3,-10,
280,M.J. Iraldi,1,15.22,15.22,9.9,4,1,3,33.3,0,2,0,1,1,100,0,0,0,0,0,0,0,4,-7,
281,Dion Brown,3,15.15,5.05,7,1.3,0.3,1,33.3,0,0.3,0,0.3,0.3,100,0.7,1,1.7,0.3,1.7,0,0.3,2,0,
282,Efe Abogidi,1,15.07,15.07,12.6,10,4,7,57.1,2,4,50,0,0,0,1,3,4,0,1,1,0,3,-9,
283,AK Okereke,3,15.04,5.013333333,15.5,5.3,2,4,50,1.3,2.7,50,0,0.3,0,1.3,1.3,2.7,2.3,1,0.7,1,2,7,
284,Kira Lewis Jr.,2,15.03,7.515,9.3,3.5,1.5,2,75,0.5,1,50,0,0,0,0,0,0,1,1,1,0,1.5,3,
285,Keshon Gilbert,1,15.02,15.02,19.8,10,5,7,71.4,0,1,0,0,2,0,1,4,5,5,4,2,0,3,10,
286,Dailyn Swain,3,14.91,4.97,30.2,4.3,1,8.7,11.5,0,2.3,0,1.3,2,66.7,1.3,4.7,6,2.7,2,0.7,0,2.7,1,
287,Kingston Flemings,2,14.84,7.42,24.3,7,3,9,33.3,1,3,33.3,0,0.5,0,0.5,3.5,4,6.5,3.5,0.5,1,3.5,11,
288,Lawson Lovering,3,14.82,4.94,17.7,4.7,2,3.3,60,0,0,0,0.3,1,33.3,1.3,0.3,1.7,1,1.3,0.3,0.7,4.3,15,
289,Jaden Henley,4,14.73,3.6825,11.1,4.8,1.5,4.8,31.6,0,0.8,0,1,1.3,80,0.5,2.5,3,0.5,1.8,1,0.3,1.8,-1,
290,Liam Robbins,3,14.67,4.89,17.6,6.3,2.7,5.7,47.1,0.3,2,16.7,0.3,1,33.3,1.3,2.3,3.7,1.7,3.3,0.7,1.7,4,-5,
291,Adam Flagler,4,14.55,3.6375,12.8,4.5,1.8,5,35,0.5,2,25,0.3,0.5,50,0,1.5,1.5,1.3,0,0.5,0.3,1,2,
292,Aaron Nkrumah,1,14.52,14.52,18.2,8,3,6,50,2,5,40,0,0,0,1,3,4,1,2,0,0,3,-1,
293,Steven Ashworth,1,14.3,14.3,12,6,0,3,0,0,3,0,3,3,100,1,1,2,3,3,0,0,3,0,
294,Johnell Davis,4,14.18,3.545,5.5,2.5,0.8,1.8,42.9,0.5,1.5,33.3,0.3,0.5,50,0,0.8,0.8,0,1,0.3,0,0.3,-1,
295,Themus Fulks,2,14.17,7.085,6.7,2,0.5,2,25,0,0,0,1,1,100,0,0.5,0.5,1.5,1,0,0,1,-1,
296,Mitch Mascari,2,14.09,7.045,4.1,1.5,0.5,1.5,33.3,0.5,0.5,100,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,-3,
297,"Ernest Udeh, Jr.",4,14.02,3.505,20.2,4.5,1.5,3.8,40,0,0,0,0.8,1.5,50,2,3.8,5.8,1.5,0.5,1.5,2.3,3.5,-3,
298,Ugonna Onyenso,4,13.9,3.475,16.7,3,1.3,3.3,38.5,0.5,0.8,66.7,0,0,0,2.3,3,5.3,0.3,1,1,1.8,1.5,-8,
299,Izaiyah Nelson,3,13.82,4.606666667,13.5,2.7,1,2,50,0,0.3,0,0.3,0.7,50,0.7,2.3,3,0.7,0.7,1,1,3.3,5,
300,Giovanni Emejuru,3,13.75,4.583333333,17.3,2.7,0.7,2.7,25,0,0,0,0.7,1,66.7,2.7,2.7,5.3,0,0.7,0.3,0,3,6,
301,Jabri Abdur-Rahim,1,13.29,13.29,4.2,5,2,3,66.7,1,2,50,0,0,0,0,0,0,0,0,0,0,0,-1,
302,Drake Allen,4,13.2,3.3,17.8,3.5,1.5,3.8,40,0,1.3,0,0.3,0.5,50,0.8,1,1.8,2.3,0.8,1.8,0.3,2.5,2,
303,William Hickey,3,13.19,4.396666667,14.5,4.7,2,4,50,0.7,1.7,40,0,0.7,0,1,3.3,4.3,2,1,1,0,2,-1,
304,Sean East II,4,13.16,3.29,10.7,3.5,1.5,3,50,0.5,1,50,0,0.3,0,0,1,1,1,1.3,0.3,0,2.5,4,
305,Alondes Williams,4,13.02,3.255,10.9,2.5,0.5,3.8,13.3,0.5,2,25,0.5,0.8,66.7,0.8,1,1.8,1.3,0.5,0,0.3,1,-3,
306,Gerald Ayayi,1,13.02,13.02,19.3,7,3,7,42.9,1,2,50,0,0,0,2,1,3,0,0,2,0,1,-11,
307,Christian Shumate,4,12.87,3.2175,14.9,3.8,1.8,3.5,50,0.3,0.8,33.3,0,0,0,2.5,3.3,5.8,1.3,1,0.3,0.3,0.8,5,
308,Eli Ndiaye,1,12.85,12.85,12.5,2,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,
309,RJ Nembhard Jr.,3,12.53,4.176666667,18.4,6.3,2.7,7.3,36.4,0.3,2.3,14.3,0.3,1,33.3,0.3,1.7,2,1.7,2,0,0,2,-7,
310,B.J. Edwards,2,12.51,6.255,8.3,3,1,3.5,28.6,0,0.5,0,1,1.5,66.7,0,2,2,1.5,0.5,0,0.5,0.5,4,
311,Nate Kingz,1,12.48,12.48,22.8,10,4,11,36.4,2,7,28.6,0,1,0,0,3,3,0,0,1,2,2,-9,
312,Deivon Smith,1,12.41,12.41,14.1,2,1,1,100,0,0,0,0,0,0,0,4,4,1,2,1,1,0,-7,
313,Julian Reese,3,12.24,4.08,13.7,4.7,0.7,1.7,40,0,0,0,1.7,3.3,50,1.3,3.3,4.7,0.7,1.3,0.7,0.3,3.3,-9,
314,Stevie Mitchell,1,12.05,12.05,5.5,2,1,1,100,0,0,0,0,0,0,1,1,2,0,2,1,0,2,2,
315,Jameer Nelson Jr.,4,11.97,2.9925,14.5,5.5,1.8,5.8,30.4,0,0.8,0,1,2.3,44.4,0.3,2.3,2.5,1,2.5,1.5,0.8,1.3,1,
316,Jaxon Kohler,1,11.96,11.96,9.6,2,1,1,100,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,
317,Ezra Ausar,1,11.77,11.77,4.7,2,1,1,100,0,0,0,0,0,0,1,2,3,0,1,1,0,2,-1,
318,Mohamed Diawara,2,11.65,5.825,24.7,3.5,0.5,7,7.1,0.5,5,10,1,1.5,66.7,1,4.5,5.5,0.5,2,0,0.5,2,-27,
319,Basheer Jihad,3,11.43,3.81,11.1,4,1.7,3,55.6,0,0.7,0,0.3,1.3,25,1,1.3,2.3,1,0.7,1,1,1.3,2,
320,Zakai Zeigler,4,11.43,2.8575,4.1,0.5,0,0.8,0,0,0.5,0,0.5,0.5,100,0.3,0,0.3,0.8,1.5,0,0,0.5,4,
321,Corey Stephenson,3,11.4,3.8,8,2.7,0.7,2.3,28.6,0,1,0,0.7,1,66.7,0.3,0.7,1,0.3,0.3,0,0,1.7,-2,
322,Zach Cleveland,1,11.29,11.29,11.2,4,2,3,66.7,0,0,0,0,0,0,0,1,1,3,1,2,0,0,18,
323,Duke Miles,4,11.28,2.82,16,5.8,2.3,5.8,39.1,1.3,4.3,29.4,0,0,0,0.5,1.8,2.3,2.8,1,0.8,0.3,1.3,-2,
324,William Kyle III,3,11.2,3.733333333,11,2,1,1.3,75,0,0,0,0,1,0,1.3,1.7,3,0.7,0.7,0.3,1,2,10,
325,Harry Wessels,3,11.14,3.713333333,6.1,0.7,0.3,0.3,100,0,0,0,0,0,0,1,1,2,0,0.3,0,0.7,1,-2,
326,Ryan Kalkbrenner,3,11.13,3.71,26.5,5.3,2.7,4.7,57.1,0,0,0,0,1,0,2.3,2.3,4.7,3,2.3,1,3.7,2.7,-8,
327,Saint Thomas,4,11.12,2.78,15.5,4.5,2,4.8,42.1,0.5,2,25,0,0.3,0,1,3.3,4.3,1,1.5,0.3,0.3,2.8,0,
328,Ben Middlebrooks,3,11.06,3.686666667,7,0.7,0,1.7,0,0,1.3,0,0.3,0.3,100,0.7,0.7,1.3,0,0.3,0.7,0.3,2.3,-7,
329,Jaden Akins,1,11.04,11.04,21.4,2,0,5,0,0,3,0,1,1,100,0,0,0,2,2,0,0,4,-31,
330,Viktor Lakhin,4,10.94,2.735,9.1,2,0.8,1.3,60,0,0.3,0,0.3,1,25,0.5,2,2.5,0.8,1.5,0,1,2.3,-1,
331,Riley Kugel,4,10.94,2.735,6.9,3.5,1.3,3,41.7,1,2,50,0,0,0,0.3,0.3,0.5,0.3,0.3,0,0.3,0,-2,
332,Dane Goodwin,4,10.68,2.67,16.6,2.5,1,4.8,21.1,0,2,0,0.3,0.5,50,0.8,1.8,2.5,0.8,0.5,1.3,0.5,2.8,-3,
333,Micah Handlogten,1,10.6,10.6,0,2,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,2,
334,Christoph Tilly,2,10.52,5.26,13.5,8,4,6,66.7,0,0,0,0,0.5,0,1.5,2.5,4,0.5,0.5,1,0,2.5,-6,
335,Tre'Von Spillers,2,10.5,5.25,8.5,1.5,0.5,2,25,0.5,1,50,0,0,0,1.5,3,4.5,1,0,0.5,0,0.5,5,
336,Anthony Dell'Orso,2,10.04,5.02,9.6,3.5,1.5,3,50,0.5,1.5,33.3,0,0,0,0,0.5,0.5,1.5,0.5,0.5,0,0,-6,
337,Carson Cooper,3,10.02,3.34,14.8,2.7,0.7,2,33.3,0,0.3,0,0.7,1.7,40,1.3,2.3,3.7,0.7,1,0.3,0.7,2,-8,
338,Steven Crowl,3,10.02,3.34,13,1.7,0.7,2,33.3,0.3,1,33.3,0,0,0,1.3,1.7,3,1.3,1.3,0,0.3,2,4,
339,Jamir Watkins,1,10,10,20,2,1,2,50,0,0,0,0,0,0,1,3,4,0,0,1,0,9,7,
340,Erik Reynolds II,2,9.85,4.925,6.2,1.5,0.5,1.5,33.3,0.5,1,50,0,0.5,0,0.5,0.5,1,0,1,0,0,0.5,0,
341,Dain Dainja,1,9.84,9.84,12.4,6,3,5,60,0,0,0,0,0,0,4,2,6,0,1,0,1,1,-3,
342,Chauncey Wiggins,2,9.7,4.85,5.2,1.5,0.5,1.5,33.3,0.5,1,50,0,0,0,1,1,2,0.5,0,0,0,0,-1,
343,Justin Harmon,3,9.56,3.186666667,15.1,5,2.3,6.3,36.8,0.3,2.7,12.5,0,0,0,1.3,2.3,3.7,1.3,0.7,0.3,0.3,1.7,3,
344,Tamin Lipsey,2,9.46,4.73,22.8,3.5,1.5,4.5,33.3,0.5,2.5,20,0,0.5,0,1,2,3,1,1,0.5,0,3,-6,
345,Wyatt Fricks,3,9.36,3.12,5.9,2.3,1,2.3,42.9,0.3,1,33.3,0,0.7,0,1.3,0.7,2,0.3,0.3,0,0,0.3,-1,
346,Latrell Wrightsell Jr.,4,9.36,2.34,11.7,4.5,1.8,5.5,31.8,1,3.3,30.8,0,0,0,0.8,0.5,1.3,0.5,0.5,0.5,0.3,0.8,-2,
347,Colby Jones,2,9.26,4.63,13.8,4.5,2,6.5,30.8,0.5,2.5,20,0,0.5,0,2,2,4,2,0.5,0,0.5,0.5,0,
348,Isaiah Stevens,4,9.14,2.285,12.3,2.3,0.8,3,25,0,0.3,0,0.5,1,50,0,0.8,0.8,2.5,0.8,0,0.3,1,-10,
349,Chase Ross,2,8.95,4.475,11,3,1.5,2,75,0,0,0,0,0,0,0,0.5,0.5,1,0,1,0,0,-6,
350,Andersson Garcia,2,8.87,4.435,21.2,2,1,2.5,40,0,1,0,0,0,0,0.5,2,2.5,1.5,2,0.5,0.5,3.5,8,
351,Max Mackinnon,2,8.76,4.38,7.8,2.5,1,2.5,40,0.5,1.5,33.3,0,0,0,0.5,0,0.5,0.5,0.5,0,0,1.5,-5,
352,Rafael Castro,3,8.72,2.906666667,8.2,1.3,0.3,1.7,20,0,0.3,0,0.3,0.7,50,0.7,0.7,1.3,0,0.3,0,0.7,0.7,0,
353,Zhaire Smith,3,8.68,2.893333333,8.6,3.3,1.7,2.7,62.5,0,0.7,0,0,0,0,0,0,0,1.3,1,0.7,0.3,1,3,
354,Ace Baldwin Jr.,1,8.61,8.61,14.1,2,0,1,0,0,1,0,1,2,50,0,2,2,2,2,3,2,0,2,
355,Jacob Toppin,1,8.29,8.29,11.9,2,1,2,50,0,0,0,0,0,0,1,1,2,0,0,0,1,1,10,
356,Elias Ralph,1,8.23,8.23,9.9,3,1,6,16.7,1,6,16.7,0,0,0,2,2,4,1,0,0,0,0,13,
357,Nate Mensah,4,8.21,2.0525,16.7,2,1,2.3,44.4,0,0,0,0,0.5,0,1.5,4.5,6,0.5,0.8,1.3,1.3,2.3,-3,
358,Alex Reese,2,8.1,4.05,8.6,3.5,1.5,3.5,42.9,0.5,2.5,20,0,1,0,0,0.5,0.5,0,0,0,0,0,-4,
359,Boo Buie,3,8,2.666666667,10.7,2.7,1,3.3,30,0.7,2.3,28.6,0,0,0,0,0,0,1.3,1.7,0,0,1.7,-4,
360,Kendall Brown,2,7.81,3.905,15.6,3,1.5,3,50,0,0.5,0,0,0.5,0,0.5,2.5,3,1,1,1,0.5,0.5,-6,
361,Tre Carroll,2,7.74,3.87,10.4,3,1.5,3,50,0,0.5,0,0,0,0,1.5,2.5,4,0.5,1,0,0,1.5,-2,
362,Aidan Mahaney,3,7.42,2.473333333,4,1.3,0.7,1,66.7,0,0.3,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0,2,-3,
363,Jack Clark,2,7.41,3.705,6.8,1.5,0.5,2,25,0.5,1.5,33.3,0,0,0,0.5,2,2.5,1,0,1.5,0.5,2,-7,
364,Terrell Brown Jr.,2,7.34,3.67,11.9,3,1.5,3,50,0,0.5,0,0,0,0,0,1.5,1.5,3,1.5,0,0,0,-4,
365,Eric Dixon,2,7.27,3.635,16.9,3.5,1.5,6.5,23.1,0.5,3,16.7,0,0.5,0,0.5,2,2.5,1,0,0.5,0.5,1.5,-8,
366,Cameron Matthews,2,7.24,3.62,10.4,3,1.5,3,50,0,0.5,0,0,0,0,0.5,1.5,2,2,0.5,0.5,0.5,2.5,-6,
367,Drew Cisse,3,7,2.333333333,7.9,0.7,0.3,0.7,50,0,0,0,0,0.3,0,1.3,1.3,2.7,0.7,0.7,0,0.7,0.7,2,
368,Devin Askew,3,6.99,2.33,6.7,1,0.3,1.3,25,0.3,1.3,25,0,0,0,0.3,1,1.3,1.7,1,0,0,1.7,2,
369,Damari Monsanto,2,6.97,3.485,5.7,3,1,4,25,1,4,25,0,0,0,0,0.5,0.5,0.5,0,1,0,0.5,-2,
370,Miles Barnstable,4,6.75,1.6875,7.5,2.3,0.8,3.8,20,0.8,3.3,23.1,0,0,0,0,0.8,0.8,0.3,0.5,0,0.5,1,2,
371,Bryce Thompson,1,6.65,6.65,7.5,2,0,1,0,0,0,0,1,2,50,0,1,1,0,2,0,0,2,-3,
372,Corey Camper Jr.,4,6.57,1.6425,13.9,2,1,3.5,28.6,0,1.5,0,0,0.3,0,1.5,1.8,3.3,0.5,0.5,1,0.3,1,5,
373,Barry Dunning Jr.,3,6.48,2.16,6.6,1.3,0.7,1.3,50,0,0.3,0,0,0.3,0,0,0.3,0.3,0.7,0,0.3,0,1.7,1,
374,Jayden Nunn,3,6.43,2.143333333,14.3,1.7,0.7,4.7,14.3,0,1.7,0,0.3,1.7,20,1,2.3,3.3,0,0.7,0.3,0,0.3,-3,
375,Javontae Campbell,1,6.33,6.33,4.3,1,0,1,0,0,0,0,1,2,50,0,1,1,1,1,0,0,0,0,
376,David Muoka,2,6.26,3.13,4.1,1,0.5,1,50,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,
377,Chris Ledlum,2,6.07,3.035,4.7,3,1.5,4,37.5,0,1.5,0,0,0.5,0,1.5,2.5,4,0,0,0,0,0,0,
378,Lamar Wilkerson,2,5.86,2.93,11.1,1.5,0.5,2.5,20,0.5,2,25,0,0,0,0,0,0,1.5,0.5,0,0,0.5,-7,
379,Isaiah Evans,1,5.77,5.77,26.4,4,2,15,13.3,0,9,0,0,0,0,4,1,5,1,2,0,1,1,-27,
380,Jordan Riley,1,5.52,5.52,13.9,4,2,6,33.3,0,2,0,0,0,0,1,1,2,1,1,0,1,1,-14,
381,Toby Okani,3,5.49,1.83,10.2,1,0.3,2.7,12.5,0.3,1.7,20,0,0,0,0.3,1,1.3,0,0.3,0.7,0.3,2.3,0,
382,Keyshawn Hall,2,5.47,2.735,17.7,2,1,4,25,0,0.5,0,0,0.5,0,0.5,2.5,3,1,1,0.5,0,1.5,-6,
383,Chris Mantis,3,5.47,1.823333333,4.8,1,0.3,1.7,20,0.3,1.3,25,0,0,0,0,1,1,0,0,0,0.3,0,-2,
384,Curtis Jones,4,5.4,1.35,8.9,1.3,0.5,3,16.7,0.3,1.3,20,0,0,0,0.3,1.5,1.8,0.8,1.8,0.8,0,1,-6,
385,Dominique Daniels Jr.,2,5.13,2.565,13.5,3,1.5,8,18.8,0,2.5,0,0,0,0,0,1.5,1.5,1,0,0.5,0,2.5,-3,
386,Mylik Wilson,3,5.06,1.686666667,11,2,1,3.3,30,0,0.3,0,0,0,0,0.7,0.3,1,1,1.3,1.7,0.3,1.7,-5,
387,Sam Alexis,1,4.65,4.65,4.2,2,1,3,33.3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,
388,Latavious Mitchell,1,4.43,4.43,4,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
389,Tyon Grant-Foster,2,4.31,2.155,2.8,1,0.5,1.5,33.3,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,1,
390,Tristan Enaruna,1,4.23,4.23,6,2,1,7,14.3,0,2,0,0,0,0,2,1,3,0,0,1,0,1,2,
391,Max Abmas,1,4.17,4.17,13.7,0,0,6,0,0,5,0,0,0,0,0,1,1,5,2,0,0,1,7,
392,Day Day Thomas,2,4.16,2.08,3.6,1,0.5,2,25,0,0.5,0,0,0,0,0,0.5,0.5,1.5,1,0.5,0,0,5,
393,Cam Carter,1,4.04,4.04,6.4,2,1,4,25,0,1,0,0,0,0,0,0,0,0,2,0,1,0,-2,
394,Gerald Ayayi,2,3.89,1.945,15.4,1,0.5,5,10,0,2,0,0,1,0,1.5,2,3.5,0,0,0,0,4,-7,
395,Lance Ware,3,3.83,1.276666667,14.5,0.7,0.3,2,16.7,0,0,0,0,1.3,0,1.7,2,3.7,1.7,0,0.7,0.3,1.7,-9,
396,Will Johnston,3,3.72,1.24,13,0.7,0.3,2.3,14.3,0,1,0,0,0.3,0,0,1.3,1.3,0,0,0.7,0,1,1,
397,Houston Mallette,1,3.24,3.24,5.4,2,1,4,25,0,2,0,0,0,0,0,1,1,0,0,0,0,0,-9,
398,Meechie Johnson,2,3.24,1.62,6.4,1,0.5,2,25,0,1,0,0,0,0,1,0,1,0.5,1,1,0,1,-9,
399,Luke Goode,1,3.03,3.03,10.3,0,0,1,0,0,1,0,0,0,0,0,2,2,1,2,1,0,2,8,
400,Davide Casarin,1,2.61,2.61,13.1,0,0,1,0,0,1,0,0,1,0,0,2,2,2,4,0,0,3,-3,
401,Tyson Degenhart,2,2.54,1.27,9.9,1,0.5,4,12.5,0,2,0,0,0,0,0.5,0.5,1,0,0.5,0,0,2,-9,
402,Malik Reneau,1,2.34,2.34,8.4,0,0,3,0,0,1,0,0,0,0,1,3,4,0,1,0,1,2,-1,
403,Dain Dainja,2,2.22,1.11,9.7,0,0,2,0,0,0,0,0,0,0,0.5,3,3.5,1,1,0.5,0,2,-1,
404,Langston Wilson,1,2.18,2.18,5.8,0,0,3,0,0,1,0,0,0,0,2,2,4,1,1,1,2,1,-2,
405,Treysen Eaglestaff,1,2,2,5,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,6,
406,Ace Bailey,1,1.98,1.98,7.8,0,0,5,0,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,
407,Malik Thomas,1,1.74,1.74,10.4,0,0,2,0,0,1,0,0,0,0,0,2,2,2,1,0,0,3,-6,
408,Guillermo Diaz Graham,2,1.49,0.745,2.4,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2,0,0.5,0,0,1,7,
409,Jacksen Moni,2,1.48,0.74,5.3,0,0,1.5,0,0,1.5,0,0,0,0,0,1,1,0.5,0.5,0.5,0,1,2,
410,Sam Hoiberg,4,1.41,0.3525,8.6,0,0,0.8,0,0,0.8,0,0,0,0,0.8,1,1.8,1,0.5,0.5,0,1.3,-3,
411,Orlando Thomas,1,1.02,1.02,6.2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,-5,
412,Lucas Dufeal,1,0.91,0.91,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,
413,Akoi Yuot,1,0.83,0.83,1.3,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,-2,
414,Nick Townsend,1,0.78,0.78,2.8,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,-2,
415,Ja'Vier Francis,2,0.77,0.385,1.7,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,3,
416,Duke Brennan,2,0.65,0.325,3.5,0,0,0.5,0,0,0,0,0,0.5,0,1,1,2,0.5,0.5,0,0,0,-3,
417,Jake Stephens,1,0.64,0.64,2.4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,
418,Hunter Sallis,2,0.58,0.29,5.8,0,0,1,0,0,0,0,0,0,0,0,1.5,1.5,0,0.5,0,1,1.5,-7,
419,Elijah Mahi,1,0.52,0.52,4.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,
420,Kuany Kuany,2,0.52,0.26,2.2,0,0,0.5,0,0,0.5,0,0,1,0,0,1,1,0,0.5,0,0,0.5,-2,
421,Mo Amini,2,0.44,0.22,1.9,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,
422,Antonio Reeves,1,0.4,0.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
423,Keith Palek III,1,0.37,0.37,2.7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,
424,Josiah Allick,2,0.32,0.16,2.2,0,0,0,0,0,0,0,0,1,0,0.5,0.5,1,0,0,0,0,1,-3,
425,Dwight Murray Jr.,1,0.1,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,
426,Aaron Williams,1,0.04,0.04,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
427,Aziz Bandaogo,1,-0.02,-0.02,2.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,
428,Devin McGlockton,2,-0.04,-0.02,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,
429,Reed Bailey,2,-0.15,-0.075,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6,
430,Andrew Holifield,1,-0.17,-0.17,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,
431,Dajuan Harris,2,-0.47,-0.235,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,
