Rank,Player,GP,MSR,MSR AVG,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
147,John Poulakidas,3,21.56,7.186666667,22.7,8.3,2.3,7.7,30.4,2,6.3,31.6,0.7,0.7,100,0.3,1.3,1.7,1,1.3,0.7,0.3,2.3,-6,
148,Javonte Cooke,4,21.56,5.39,23.5,12,4,10,40,1.8,5.5,31.8,1.5,2,75,0.3,3,3.3,1.3,1.3,0.3,0,3,-4,
149,Maxime Raynaud,2,21.54,10.77,22.9,11.5,4,9,44.4,1.5,3.5,42.9,1,1.5,66.7,2.5,5.5,8,2.5,4.5,0.5,0,4,-21,
150,Norchad Omier,4,21.43,5.3575,18.9,8.3,3.3,6.5,50,0.5,1,50,0.8,1.5,50,4.3,4.3,8.5,1.3,0.5,1.3,0.5,3.8,-1,
151,Erik Stevenson,3,21.43,7.143333333,24.3,12,4.7,10.7,43.8,2.3,6,38.9,0.3,0.7,50,1,3.3,4.3,2,1.7,1.7,0.3,3.3,3,
152,Jorge Diaz Graham,3,21.42,7.14,13.9,4.7,1.7,4.3,38.5,1,3,33.3,0.3,0.3,100,0,3.3,3.3,1,1.3,1,0.3,3,0,
153,Koa Peat,4,21.4,5.35,27.2,16.8,6.3,12.3,51,0,0.5,0,2.5,4,62.5,0.8,4,4.8,2.3,3,1.5,0.5,6,8,
154,Fletcher Loyer,4,21.38,5.345,12.8,7,2,4.5,44.4,0.8,2.5,30,1.3,1.3,100,0.3,0.8,1,0.8,0.5,0.3,0,0.5,3,
155,Felix Okpara,3,21.33,7.11,20.4,6.7,2.7,5.7,47.1,0,0,0,0.7,0.7,100,2.3,2.3,4.7,1.7,2,0.7,1.3,2.3,12,
156,Ben Humrichous,3,21.25,7.083333333,12.9,4.3,1.3,3.7,36.4,1.3,3.7,36.4,0.3,0.3,100,0.7,2.3,3,0,0.3,0.3,1,1.3,3,
157,Taevion Kinsey,4,21.24,5.31,13.8,6.5,1.5,3.3,46.2,1.3,2.5,50,1.3,1.5,83.3,0,0.8,0.8,0.8,0.5,0,0,1.3,-3,
158,Jaylin Williams,4,21.17,5.2925,12.5,4.3,1.5,3,50,0.3,1.3,20,0.8,0.8,100,1.3,2.5,3.8,0.8,0.5,0.8,0.5,1,6,
159,Bogoljub Marković,4,21.09,5.2725,22.9,10,3.8,8.3,45.5,2,4.5,44.4,0.3,0.5,50,1,4.3,5.3,1.5,1.3,0,0.8,3.5,1,
160,Donovan Atwell,3,20.89,6.963333333,18.1,10.3,3.3,7,47.6,3.3,7,47.6,0.3,0.7,50,0,2,2,0.7,0,0.7,0,2.3,6,
