Rank,Player,GP,MSR,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
241,Aliou Diarra,1,8.16,10.6,2,1,2,50,0,0,0,0,0,0,1,5,6,0,1,0,0,3,0,
242,Jahmi'us Ramsey,1,8.07,15.7,3,1,5,20,1,5,20,0,0,0,0,4,4,1,2,1,0,0,-2,
243,Mark Sears,1,8.03,10.3,4,2,5,40,0,2,0,0,0,0,0,1,1,1,3,1,0,2,8,
244,Isaiah Stevens,1,8,12,2,1,2,50,0,0,0,0,0,0,0,1,1,5,0,0,0,3,3,
245,Dillon Mitchell,1,7.49,25.6,4,2,6,33.3,0,0,0,0,1,0,2,1,3,0,2,2,2,2,-11,
246,Aday Mara,1,7.41,24.8,2,0,3,0,0,0,0,1,3,33.3,3,4,7,1,3,1,2,3,-17,
247,Trey Kaufman-Renn,1,7.41,15.8,2,1,3,33.3,0,1,0,0,0,0,4,1,5,0,1,1,0,1,5,
248,Izaiyah Nelson,1,7.21,15.1,2,1,4,25,0,1,0,0,0,0,2,3,5,0,2,1,1,3,7,
249,Christian Anderson,1,7.01,22.9,4,2,9,22.2,0,4,0,0,0,0,0,0,0,2,2,0,0,0,2,
250,Christian Shumate,1,6.72,9.2,2,1,2,50,0,0,0,0,0,0,2,1,3,0,1,0,0,1,-5,
251,Nate Mensah,1,6.68,15.8,2,1,4,25,0,0,0,0,0,0,2,5,7,2,0,2,2,1,-2,
252,Bryce Thompson,1,6.65,7.5,2,0,1,0,0,0,0,1,2,50,0,1,1,0,2,0,0,2,-3,
253,Brandon Angel,1,6.61,15.1,2,1,2,50,0,0,0,0,0,0,3,1,4,0,0,0,0,3,-15,
254,Justin Harmon,1,6.61,10.8,2,1,3,33.3,0,1,0,0,0,0,1,3,4,1,0,0,1,2,3,
255,Phillip Wheeler,1,6.55,10.5,4,2,5,40,0,3,0,0,0,0,0,0,0,0,1,1,1,1,-3,
256,Tyler Bilodeau,1,6.52,14.9,2,1,3,33.3,0,1,0,0,0,0,0,2,2,2,1,1,0,3,-1,
257,Chase Ross,1,6.42,13.2,2,1,2,50,0,0,0,0,0,0,0,1,1,1,0,1,0,0,-8,
258,Zack Austin,1,6.09,10.6,3,1,4,25,1,3,33.3,0,0,0,1,0,1,0,1,0,0,1,-24,
259,Jalon Moore,1,5.95,19.8,2,1,6,16.7,0,1,0,0,0,0,0,6,6,1,0,0,0,6,-6,
260,Jayden Nunn,1,5.93,17,1,0,4,0,0,2,0,1,3,33.3,2,3,5,0,1,0,0,0,-13,
261,John Ukomadu,1,5.93,4.3,2,1,2,50,0,1,0,0,0,0,0,0,0,0,3,0,2,0,-6,
262,Dane Goodwin,1,5.87,16.1,4,2,7,28.6,0,3,0,0,0,0,1,2,3,2,0,2,0,3,-15,
263,Keon Johnson,1,5.84,9.8,4,2,7,28.6,0,4,0,0,0,0,1,0,1,1,0,1,0,0,-1,
264,Ugonna Onyenso,1,5.72,19.9,2,1,3,33.3,0,0,0,0,0,0,1,3,4,0,0,3,1,1,-15,
265,Alex Karaban,1,5.6,24,0,0,6,0,0,4,0,0,0,0,1,1,2,1,3,0,1,1,12,
266,RJ Melendez,1,5.3,8.7,2,1,3,33.3,0,1,0,0,1,0,0,2,2,0,3,1,0,2,-7,
267,TyTy Washington Jr.,1,4.76,12.6,2,1,4,25,0,2,0,0,0,0,1,0,1,2,1,0,0,0,-4,
268,Igor Milicic Jr.,1,4.72,6.2,2,1,4,25,0,3,0,0,0,0,2,2,4,0,1,1,0,2,-6,
269,Kobe Stewart,1,4.49,5.6,2,1,3,33.3,0,1,0,0,0,0,2,0,2,0,1,0,0,0,-6,
270,Zhaire Smith,1,4.33,10.3,2,1,4,25,0,2,0,0,0,0,0,0,0,0,0,0,0,2,-3,
271,Tristan Enaruna,1,4.23,6,2,1,7,14.3,0,2,0,0,0,0,2,1,3,0,0,1,0,1,2,
272,Max Abmas,1,4.17,13.7,0,0,6,0,0,5,0,0,0,0,0,1,1,5,2,0,0,1,7,
273,Jaron Pierre Jr.,1,3.98,11.8,2,1,5,20,0,2,0,0,0,0,0,0,0,1,2,1,0,2,-8,
274,Xaivian Lee,1,3.3,13.3,2,1,6,16.7,0,3,0,0,0,0,0,1,1,1,0,0,0,4,-16,
275,Will Johnston,1,3.26,15.6,0,0,3,0,0,2,0,0,1,0,0,2,2,0,0,1,0,2,4,
276,Kylan Boswell,1,3.17,13.7,0,0,2,0,0,2,0,0,0,0,0,2,2,2,1,0,0,1,6,
277,Jamarion Sharp,1,3.15,16.5,0,0,1,0,0,0,0,0,2,0,2,5,7,0,4,3,4,3,-16,
278,Saint Thomas,1,3.03,16.3,0,0,2,0,0,2,0,0,0,0,0,4,4,1,1,0,1,1,-2,
279,Carson Cooper,1,2.91,15.1,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1,1,0,2,3,
280,Adam Flagler,1,2.8,12,0,0,6,0,0,2,0,0,0,0,0,1,1,2,0,1,0,0,3,
281,William Kyle III,1,2.7,9,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,0,0,9,
282,Tyson Degenhart,1,2.65,9.8,2,1,6,16.7,0,3,0,0,0,0,1,0,1,0,0,0,0,1,-15,
283,Reece Beekman,1,2.59,22.9,0,0,1,0,0,1,0,0,0,0,0,2,2,0,2,1,3,1,-10,
284,Sam Hoiberg,1,2.58,8.8,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,0,2,6,
285,Tobe Awaka,1,2.35,18.5,0,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,1,6,-10,
286,Kyle Mangas,1,2.13,10.3,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,
287,Nick Jourdain,1,2.1,8,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,0,0,0,3,
288,Treysen Eaglestaff,1,2,5,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,6,
289,Curtis Jones,1,1.94,10.4,0,0,3,0,0,1,0,0,0,0,0,2,2,1,2,1,0,3,-6,
290,Lance Ware,1,1.89,15.9,0,0,4,0,0,0,0,0,1,0,3,2,5,3,0,1,0,2,-18,
291,Alondes Williams,1,1.87,8.7,0,0,6,0,0,3,0,0,0,0,2,1,3,1,1,0,1,0,-8,
292,Deivon Smith,1,1.42,13.2,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,1,0,-11,
293,Hyunjung Lee,1,1.26,12.6,0,0,4,0,0,4,0,0,0,0,0,1,1,0,1,1,1,2,-15,
294,Corey Stephenson,1,1.23,7.3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-1,
295,Miles Barnstable,1,1.19,5.9,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,-2,
296,Blake Hinson,1,1.17,16.7,0,0,2,0,0,2,0,0,0,0,2,1,3,1,0,1,0,2,-19,
297,Kadary Richmond,1,1.15,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,
298,Viktor Lakhin,1,1.1,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,1,4,-4,
299,Hank Morgan,1,1.08,3.8,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,
300,Toby Okani,1,1.03,6.3,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,1,2,-6,
301,Meechie Johnson,1,0.99,1.9,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4,
302,Dion Brown,1,0.95,6.5,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-2,
303,Dominique Daniels Jr.,1,0.88,4.8,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,-3,
304,Chris Bell,1,0.74,7.4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,-9,
305,Duke Brennan,1,0.63,4.3,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,0,0,-6,
306,Ja'Vier Francis,1,0.63,1.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,
307,Harry Wessels,1,0.58,5.8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,2,-8,
308,Kuany Kuany,1,0.5,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,-2,
309,Drew Cisse,1,0.48,2.8,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,-3,
310,Ben Middlebrooks,1,0.3,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,-6,
311,Rafael Castro,1,0.26,5.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-6,
312,Hunter Sallis,1,0.2,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-6,
313,Jorge Diaz Graham,1,0.18,4.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-7,
314,Luke Travers,1,0.08,10.8,0,0,3,0,0,2,0,0,0,0,1,1,2,0,2,0,0,0,-21,
315,Zakai Zeigler,1,0.04,2.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,
316,Barry Dunning Jr.,1,-0.18,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-5,
