Rank,Player,GP,MSR,Min,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
64,Henri Veesaar,1,24.35,19,14,5,8,62.5,2,5,40,1,2,50,1,5,6,1,1,1,1,2,17,
65,Pacôme Dadiet,1,24.29,21.1,20,6,16,37.5,1,7,14.3,4,4,100,4,3,7,0,0,1,0,1,-4,
66,Hannes Steinbach,1,24.15,18.4,15,4,7,57.1,0,0,0,4,4,100,3,5,8,1,3,1,2,0,9,
67,Cameron Carr,1,24.14,28.9,18,7,13,53.8,1,5,20,2,3,66.7,0,2,2,1,2,1,2,3,10,
68,Jayson Kent,1,24.09,27.9,9,3,10,30,1,5,20,1,1,100,3,3,6,3,2,3,1,2,10,
69,Cam Christie,1,24,30.8,15,3,7,42.9,1,3,33.3,4,5,80,1,7,8,1,3,0,0,2,-7,
70,Keba Keita,1,23.91,8.1,5,2,2,100,0,0,0,1,1,100,0,2,2,0,0,0,1,0,15,
71,Zuby Ejiofor,1,23.88,24.2,12,2,7,28.6,1,5,20,4,4,100,2,2,4,3,1,1,0,6,12,
72,Jaxson Robinson,1,23.73,20.7,9,3,9,33.3,2,6,33.3,1,1,100,1,3,4,2,1,1,0,0,7,
73,Frankie Fidler,1,23.67,23.4,13,3,9,33.3,1,4,25,4,4,100,1,3,4,0,2,2,0,1,4,
74,Hugo González,1,23.56,37,17,3,16,18.8,1,9,11.1,6,9,66.7,3,7,10,8,3,1,0,3,6,
75,Jaylin Sellers,1,23.49,29.1,15,4,13,30.8,2,6,33.3,4,6,66.7,1,3,4,4,2,1,0,5,5,
76,Brayden Burries,1,23.28,21.8,18,6,15,40,1,5,20,3,3,100,0,3,3,3,0,0,0,1,-10,
77,Labaron Philon,1,23.18,29.2,18,6,19,31.6,4,10,40,1,2,50,1,2,3,7,3,1,0,1,3,
78,Malik Williams,1,23.05,21.5,10,3,6,50,2,4,50,1,2,50,3,4,7,1,1,1,1,4,9,
79,Chucky Hepburn,1,23.02,29.1,11,4,16,25,1,9,11.1,1,1,100,0,2,2,5,1,1,0,3,8,
80,Graham Ike,1,23,23.7,9,3,9,33.3,0,0,0,2,2,100,3,6,9,3,3,0,1,8,15,
81,Rienk Mast,1,22.93,31.9,16,6,12,50,1,6,16.7,2,3,66.7,7,4,11,3,1,1,0,0,-9,
82,Ben Saraf,1,22.84,20.4,7,2,8,25,1,4,25,1,1,100,0,5,5,1,0,0,0,1,22,
83,Darius Acuff Jr.,1,22.83,28,19,6,20,30,3,9,33.3,2,4,50,0,3,3,7,4,2,1,1,3,
84,Tyler Burton,1,22.69,4.9,3,1,1,100,0,0,0,1,1,100,0,2,2,0,0,0,0,3,8,
85,Osayi Osifo,1,22.65,13.5,8,1,1,100,0,0,0,3,3,100,1,1,2,0,1,0,0,4,-12,
86,Chaz Lanier,1,22.59,31.8,12,4,11,36.4,1,6,16.7,2,2,100,0,3,3,1,0,0,1,0,-5,
87,Taelon Peter,1,22.45,23.9,13,4,8,50,3,7,42.9,2,3,66.7,0,0,0,3,2,0,0,1,-5,
88,Noah Penda,1,22.42,28.2,23,9,15,60,5,10,50,0,0,0,1,6,7,2,0,2,3,5,-2,
89,Tarris Reed Jr.,1,22.35,20.9,14,5,9,55.6,0,1,0,2,2,100,4,6,10,2,2,1,0,4,-15,
90,Sean East II,1,22.31,8.1,3,1,1,100,1,1,100,0,0,0,0,1,1,1,0,0,0,3,2,
91,Kasparas Jakučionis,1,22.28,21.4,11,2,10,20,2,3,66.7,2,3,66.7,3,0,3,6,2,1,0,5,-5,
